STATE_NAME	SOURCE_NAME	YR_DATA_ACQ	DATATYPE_ACQ	HOW_ACQ	URL
01:Alabama	Alabama Department of Environmental Management	2022	facility list	email	
01:Alabama	Alabama Office of Water Resources	2021	water use	email	
01:Alabama	Geological Survey of Alabama: Springs in the Tennessee River Basin	2022	spring locations	online	https://www.gsa.state.al.us/gsa/geologic/geospatial
02:Alaska	Alaska Department of Environmental Conservation (Food Safety and Sanitation)	2022	facility list	"email, online"	https://data-soa-adec.opendata.arcgis.com/datasets/ADEC::alaska-dec-sdwis-drinking-water-facilities/explore
02:Alaska	Alaska Department of Natural Resources	2021	"facility list, water use"	online	https://data-soa-adec.opendata.arcgis.com/datasets/ADEC::alaska-dec-sdwis-drinking-water-facilities/explore
04:Arizona	Arizona Department of Water Resources	2023	"facility list, water use"	online	https://azwatermaps.azwater.gov/aaws/
05:Arkansas	Arkansas Department of Health (Public Health Safety Food Protection Program)	2021	facility list	email	
05:Arkansas	Arkansas Natural Resources Commission	2021	water use	email	
06:California	California Department of Fish and Wildlife: Seeps and Springs - ACE (Areas of Conservation Emphasis)	2022	spring locations	online	https://data.ca.gov/dataset/seeps-and-springs-ace-ds2731
06:California	California Department of Public Health	2021	facility list	email	
08:Colorado	Colorado Department of Public Health & Environment (Division of Environmental Health and Sustainability)	2022	facility list	"email, online"	https://maps.dnrgis.state.co.us/dwr/Index.html?viewer=mapviewer
08:Colorado	"Colorado Division of Water Resources, Department of Natural Resources: Structures - with water rights"	2022	spring locations	online	https://dnrftp.state.co.us/CDSS/GIS/Structure.zip
08:Colorado	"Colorado Division of Water Resources, Office of State Engineer"	2022	water use	online	https://maps.dnrgis.state.co.us/dwr/Index.html?viewer=mapviewer
09:Connecticut	Connecticut Department of Consumer Protection	2021	facility list	email	
09:Connecticut	Connecticut Department of Energy and Environmental Protection	2021	"facility list, water use"	email	
09:Connecticut	Connecticut Department of Public Health (Drinking Water Section)	2021	facility list	"email, online"	https://ct-deep-gis-open-data-website-ctdeep.hub.arcgis.com/search?groupIds=570c3fcbc1794f31884966716f6bf06f
10:Delaware	Delaware River Basin Commission	2021	water use	online	https://www.nj.gov/drbc/basin/map/GIS.html
11:District of Columbia	District of Columbia Department of Health	2023	facility list	online	https://dcgis.maps.arcgis.com/home/index.html
12:Florida	Florida Department of Agriculture and Consumer Services (Division of Food Safety)	2022	facility list	email	
12:Florida	Florida Department of Environmental Protection: Florida Springs (2016)	2022	spring locations	online	https://geodata.dep.state.fl.us/datasets/1cb0f28650b54d7fadb4bd62f4c7a2c1/explore
12:Florida	Northwest Florida Water Management District	2021	"facility list, water use"	online	https://nwfwmd-open-data-nwfwmd.hub.arcgis.com/search?collection=Dataset
12:Florida	South Florida Water Management District	2021	"facility list, water use"	online	https://sfwmd.maps.arcgis.com/apps/View/index.html?appid=c1fc6780e15246d08bbf4164cf2a7c36
12:Florida	Southwest Florida Water Management District	2021	"facility list, water use"	online	https://sfwmd.maps.arcgis.com/apps/View/index.html?appid=c1fc6780e15246d08bbf4164cf2a7c36
12:Florida	St. Johns River Water Management District	2021	"facility list, water use"	online	https://data-floridaswater.opendata.arcgis.com/
12:Florida	Suwannee River Water Management District	2021	"facility list, water use"	online	https://www.mysuwanneeriver.com/319/Data-Directory
13:Georgia	Georgia Department of Natural Resources (Environmental Protection Division)	2021	"facility list, water use"	email	
15:Hawaii	Hawaii Department of Land and Natural Resources (Commission on Water Resource Management)	2021	facility list	email	
16:Idaho	Idaho Department of Water Resources	2021	water use	online	https://data-idwr.hub.arcgis.com/search?collection=Dataset
16:Idaho	Idaho Department of Water Resources: Points of Diversion	2022	spring locations	online	https://data-idwr.hub.arcgis.com/datasets/water-right-pods/explore
