FAC_ID	Year_of_Data	Annual_MGD	January_Value	February_Value	March_Value	April_Value	May_Value	June_Value	July_Value	August_Value	September_Value	October_Value	November_Value	December_Value	Value_Method	Data_Source	Annual_Month_flag	PS_delivery_flag
AK00002	2014	1	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Estimated	Alaska Department of Natural Resources		
AK00005	1997	0.0105	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Estimated	Alaska Department of Natural Resources		
AK00006	1997	0.0302	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Estimated	Alaska Department of Natural Resources		
AK00017	2012	0.0036	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Estimated	Alaska Department of Natural Resources		
AL00002	2015	0.00882	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Reported	Alabama Office of Water Resources		
AR00002	2010	0.000438	0.000323	0.000357	0.000323	0.000333	0.000323	0.000333	0.000645	0.000645	0.000667	0.000645	0.000333	0.000323	Reported	Arkansas Natural Resources Commission		
AR00005	2010	0.0531	0.0323	0.0393	0.0387	0.0667	0.0613	0.107	0.0968	0.0677	0.04	0.0258	0.03	0.0323	Reported	Arkansas Natural Resources Commission		
AR00005	2013	0.155	0.142	0.139	0.135	0.217	0.187	0.22	0.206	0.19	0.0933	0.0968	0.107	0.119	Reported	Arkansas Natural Resources Commission		
AR00005	2014	0.146	0.135	0.114	0.129	0.22	0.239	0.173	0.168	0.181	0.0933	0.11	0.0933	0.0903	Reported	Arkansas Natural Resources Commission		
AR00009	2014	0.0901	0.113	0.0783	0.0681	0.0989	0.106	0.104	0.107	0.0938	0.0977	0.0712	0.0827	0.0595	Reported	Arkansas Natural Resources Commission		
AZ00042	2010	0.0119	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Reported	Arizona Department of Water Resources		
AZ00042	2011	0.0127	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Reported	Arizona Department of Water Resources		
AZ00042	2012	0.0171	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Reported	Arizona Department of Water Resources		
AZ00042	2013	0.0177	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Reported	Arizona Department of Water Resources		
AZ00042	2014	0.011	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Reported	Arizona Department of Water Resources		
AZ00042	2015	0.0165	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Reported	Arizona Department of Water Resources		
AZ00042	2016	0.0124	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Reported	Arizona Department of Water Resources		
AZ00042	2017	0.0133	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Reported	Arizona Department of Water Resources		
AZ00042	2018	0.012	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Reported	Arizona Department of Water Resources		
AZ00042	2019	0.0116	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Reported	Arizona Department of Water Resources		
AZ00042	2020	0.0142	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Reported	Arizona Department of Water Resources		
AZ00050	2010	0.145	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Reported	Arizona Department of Water Resources		
AZ00050	2011	0.192	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Reported	Arizona Department of Water Resources		
AZ00050	2012	0.274	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Reported	Arizona Department of Water Resources		
AZ00050	2013	0.151	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Reported	Arizona Department of Water Resources		
AZ00050	2014	0.162	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Reported	Arizona Department of Water Resources		
AZ00050	2015	0.143	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Reported	Arizona Department of Water Resources		
AZ00050	2016	0.191	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Reported	Arizona Department of Water Resources		
AZ00050	2017	0.164	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Reported	Arizona Department of Water Resources		
AZ00050	2018	0.0964	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Reported	Arizona Department of Water Resources		
AZ00050	2019	0.193	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Reported	Arizona Department of Water Resources		
AZ00050	2020	0.183	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Reported	Arizona Department of Water Resources		
AZ00120	2010	0.187	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Reported	Arizona Department of Water Resources		
AZ00120	2011	0.178	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Reported	Arizona Department of Water Resources		
AZ00120	2012	0.191	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Reported	Arizona Department of Water Resources		
AZ00120	2013	0.16	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Reported	Arizona Department of Water Resources		
AZ00120	2014	0.145	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Reported	Arizona Department of Water Resources		
AZ00120	2015	0.146	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Reported	Arizona Department of Water Resources		
AZ00120	2016	0.174	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Reported	Arizona Department of Water Resources		
AZ00120	2017	0.129	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Reported	Arizona Department of Water Resources		
AZ00120	2018	0.147	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Reported	Arizona Department of Water Resources		
AZ00120	2019	0.16	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Reported	Arizona Department of Water Resources		
AZ00120	2020	0.166	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Reported	Arizona Department of Water Resources		
AZ00684	2021	0.643	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Reported	Arizona Department of Water Resources		
CO00001	2009	0.00259	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Metered	"Colorado Division of Water Resources, Office of State Engineer"		
CO00001	2010	0.00378	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Metered	"Colorado Division of Water Resources, Office of State Engineer"		
CO00001	2011	0.00238	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Metered	"Colorado Division of Water Resources, Office of State Engineer"		
CO00001	2012	0.00314	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Metered	"Colorado Division of Water Resources, Office of State Engineer"		
CO00001	2013	0.00379	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Metered	"Colorado Division of Water Resources, Office of State Engineer"		
CO00001	2014	0.00324	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Metered	"Colorado Division of Water Resources, Office of State Engineer"		
CO00001	2015	0.00359	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Metered	"Colorado Division of Water Resources, Office of State Engineer"		
CO00001	2016	0.00364	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Metered	"Colorado Division of Water Resources, Office of State Engineer"		
CO00001	2017	0.00358	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Metered	"Colorado Division of Water Resources, Office of State Engineer"		
CO00001	2018	0.00286	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Metered	"Colorado Division of Water Resources, Office of State Engineer"		
CO00001	2019	0.00271	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Metered	"Colorado Division of Water Resources, Office of State Engineer"		
CO00001	2020	0.00186	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Metered	"Colorado Division of Water Resources, Office of State Engineer"		
CO00001	2021	0.00335	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	Metered	"Colorado Division of Water Resources, Office of State Engineer"		
CO00003	2007	0.0897	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	"Reported, Metered"	"Colorado Division of Water Resources, Office of State Engineer"		
CO00003	2008	0.0839	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	"Reported, Metered"	"Colorado Division of Water Resources, Office of State Engineer"		
CO00003	2009	0.055	0.0582	0.054	0.0538	0.0555	0.0558	0.0604	0.0616	0.0576	0.0521	0.0518	0.0463	0.0529	Metered	"Colorado Division of Water Resources, Office of State Engineer"		
CO00003	2010	0.0524	0.0441	0.0545	0.0529	0.0587	0.0494	0.0648	0.0649	0.0595	0.0587	0.0302	0.0446	0.0477	Metered	"Colorado Division of Water Resources, Office of State Engineer"		
